incoming_amt,incoming_expiry,incoming_add_ts,incoming_remove_ts,outgoing_amt,outgoing_expiry,outgoing_add_ts,outgoing_remove_ts,forwarding_node,forwarding_alias,chan_in,chan_out
32424,520,1711634151743378333,1711634151743384250,31422,420,1711634151743380375,1711634151743382583,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,332052511653888,336450558164992
1118,304,1711634153696694292,1711634153696707500,118,160,1711634153696699542,1711634153696703458,03d8ef4620be554d89902bc9fde9498b67790f416833b84d76298e248e4fccef56,3,340848604676096,339749093048320
1088,224,1711634153890932458,1711634153890936333,88,80,1711634153890934208,1711634153890934875,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2552,428,1711634155697611458,1711634155697619792,1552,284,1711634155697615042,1711634155697619542,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,338649581420544,329853488398336
1552,284,1711634155697615042,1711634155697619542,552,140,1711634155697615583,1711634155697617708,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
30538,664,1711634155697631667,1711634155697645500,29513,520,1711634155697641167,1711634155697645208,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,2,334251534909440,336450558164992
29513,520,1711634155697641167,1711634155697645208,28513,420,1711634155697642917,1711634155697644917,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,337550069792768
53818782,400,1711634157681964542,1711634157681976792,53817729,320,1711634157681967167,1711634157681975250,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,348545186070528,346346162814976
53817729,320,1711634157681967167,1711634157681975250,53817229,220,1711634157681968792,1711634157681975042,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,346346162814976,332052511653888
53817229,220,1711634157681968792,1711634157681975042,53801495,120,1711634157681970458,1711634157681972917,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,332052511653888,345246651187200
2234,432,1711634157750178917,1711634157750188458,1234,288,1711634157750182250,1711634157750188250,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1234,288,1711634157750182250,1711634157750188250,234,144,1711634157750184250,1711634157750186625,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,341948116303872
1297,224,1711634157898001375,1711634157898003750,297,80,1711634157898001958,1711634157898003458,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1021,304,1711634159701140625,1711634159701146542,21,160,1711634159701143792,1711634159701145958,03d8ef4620be554d89902bc9fde9498b67790f416833b84d76298e248e4fccef56,3,340848604676096,339749093048320
391977,488,1711634159701159917,1711634159701164083,390977,408,1711634159701160417,1711634159701163833,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,347445674442752
